country,city_actual,center1label,center2label,neighbourhood,price,city,stars,ratingta,ratingta_count,accommodationtype,scarce_room,hotel_id,offer,offer_cat,year,month,weekend,holiday,distance,distance_alter,accommodation_type,nnight,rating,rating_count,misratingta,misratingta_count,misrating
Italy,Rome,City centre,Palazzo Madama,Aurelio,119,Rome,4.0,3.5,300.0,_ACCOM_TYPE@Hotel,0,15166.0,1,1-15% offer,2018,6,1,0,3.2,2.9,Hotel,1,3.5,19.0,False,False,False
Italy,Rome,City centre,Palazzo Madama,Aurelio,119,Rome,4.0,3.5,300.0,_ACCOM_TYPE@Hotel,0,15166.0,1,1-15% offer,2018,3,1,0,3.2,2.9,Hotel,1,3.5,19.0,False,False,False
Italy,Rome,City centre,Palazzo Madama,Aurelio,128,Rome,4.0,3.5,300.0,_ACCOM_TYPE@Hotel,0,15166.0,0,0% no offer,2018,5,1,0,3.2,2.9,Hotel,1,3.5,19.0,False,False,False
Italy,Rome,City centre,Palazzo Madama,Aurelio,385,Rome,4.0,3.5,300.0,_ACCOM_TYPE@Hotel,0,15166.0,1,15-50% offer,2017,12,0,1,3.2,2.9,Hotel,4,3.5,19.0,False,False,False
Italy,Rome,City centre,Grotta del Bue Marino,Aurelio,69,Rome,4.0,3.5,300.0,_ACCOM_TYPE@Hotel,0,15167.0,1,15-50% offer,2018,2,1,0,3.2,4.2,Hotel,1,3.5,19.0,False,False,False
Italy,Rome,City centre,Grotta del Bue Marino,Aurelio,119,Rome,4.0,3.5,300.0,_ACCOM_TYPE@Hotel,0,15167.0,1,1-15% offer,2018,4,1,0,3.2,4.2,Hotel,1,3.5,19.0,False,False,False
Italy,Rome,City centre,Palazzo Madama,Aurelio,53,Rome,0.0,4.0,9.0,_ACCOM_TYPE@Guest House,1,15170.0,1,15-50% offer,2017,11,0,0,2.6,2.4,Guest House,1,4.3,6.0,False,False,False
Italy,Rome,City centre,Palazzo Madama,Aurelio,64,Rome,0.0,4.0,9.0,_ACCOM_TYPE@Guest House,1,15170.0,0,0% no offer,2018,4,1,0,2.6,2.4,Guest House,1,4.3,6.0,False,False,False
Italy,Rome,City centre,Palazzo Madama,Aurelio,64,Rome,0.0,4.0,9.0,_ACCOM_TYPE@Guest House,1,15170.0,0,0% no offer,2018,6,1,0,2.6,2.4,Guest House,1,4.3,6.0,False,False,False
Italy,Rome,City centre,Palazzo Madama,Aurelio,64,Rome,0.0,4.0,9.0,_ACCOM_TYPE@Guest House,1,15170.0,0,0% no offer,2018,5,1,0,2.6,2.4,Guest House,1,4.3,6.0,False,False,False
