country,city_actual,center1label,center2label,neighbourhood,price,city,stars,ratingta,ratingta_count,accommodationtype,scarce_room,hotel_id,offer,offer_cat,year,month,weekend,holiday,distance,distance_alter,accommodation_type,nnight,rating,rating_count,misratingta,misratingta_count,misrating,misrating_count
United Kingdom,London,City centre,Wimbledon Park Underground Station,Blackheath,124,London,3.0,4.0,1669.0,_ACCOM_TYPE@Hotel,0,7164.0,0,0% no offer,2018,3,1,0,6.5,9.3,Hotel,1,4.0,161.0,False,False,False,False
United Kingdom,London,City centre,Wimbledon Park Underground Station,Blackheath,124,London,3.0,4.0,1669.0,_ACCOM_TYPE@Hotel,0,7164.0,0,0% no offer,2018,1,1,0,6.5,9.3,Hotel,1,4.0,161.0,False,False,False,False
United Kingdom,London,City centre,Wimbledon Park Underground Station,Blackheath,124,London,3.0,4.0,1669.0,_ACCOM_TYPE@Hotel,0,7164.0,0,0% no offer,2017,12,0,1,6.5,9.3,Hotel,1,4.0,161.0,False,False,False,False
United Kingdom,London,City centre,Wimbledon Park Underground Station,Blackheath,128,London,3.0,4.0,1669.0,_ACCOM_TYPE@Hotel,0,7164.0,0,0% no offer,2018,2,1,0,6.5,9.3,Hotel,1,4.0,161.0,False,False,False,False
United Kingdom,London,City centre,Wimbledon Park Underground Station,Blackheath,131,London,3.0,4.0,1669.0,_ACCOM_TYPE@Hotel,0,7164.0,0,0% no offer,2017,11,1,0,6.5,9.3,Hotel,1,4.0,161.0,False,False,False,False
United Kingdom,London,City centre,Wimbledon Park Underground Station,Blackheath,131,London,3.0,4.0,1669.0,_ACCOM_TYPE@Hotel,0,7164.0,0,0% no offer,2018,5,1,0,6.5,9.3,Hotel,1,4.0,161.0,False,False,False,False
United Kingdom,London,City centre,Wimbledon Park Underground Station,Blackheath,131,London,3.0,4.0,1669.0,_ACCOM_TYPE@Hotel,0,7164.0,0,0% no offer,2017,11,0,0,6.5,9.3,Hotel,1,4.0,161.0,False,False,False,False
United Kingdom,London,City centre,Wimbledon Park Underground Station,Blackheath,135,London,3.0,4.0,1669.0,_ACCOM_TYPE@Hotel,0,7164.0,0,0% no offer,2018,4,1,0,6.5,9.3,Hotel,1,4.0,161.0,False,False,False,False
United Kingdom,London,City centre,Wimbledon Park Underground Station,Blackheath,147,London,3.0,4.0,1669.0,_ACCOM_TYPE@Hotel,0,7164.0,0,0% no offer,2018,6,1,0,6.5,9.3,Hotel,1,4.0,161.0,False,False,False,False
United Kingdom,London,City centre,Wimbledon Park Underground Station,Blackheath,515,London,3.0,4.0,1669.0,_ACCOM_TYPE@Hotel,0,7164.0,0,0% no offer,2017,12,0,1,6.5,9.3,Hotel,4,4.0,161.0,False,False,False,False
United Kingdom,London,City centre,Wimbledon Park Underground Station,Blackheath,85,London,4.0,3.0,51.0,_ACCOM_TYPE@Guest House,1,7165.0,1,15-50% offer,2017,12,0,1,6.7,9.9,Guest House,1,3.0,28.0,False,False,False,False
United Kingdom,London,City centre,Wimbledon Park Underground Station,Blackheath,126,London,4.0,3.0,51.0,_ACCOM_TYPE@Guest House,1,7165.0,0,0% no offer,2017,11,0,0,6.7,9.9,Guest House,1,3.0,28.0,False,False,False,False
United Kingdom,London,City centre,Wimbledon Park Underground Station,Blackheath,132,London,4.0,3.0,51.0,_ACCOM_TYPE@Guest House,1,7165.0,0,0% no offer,2018,6,1,0,6.7,9.9,Guest House,1,3.0,28.0,False,False,False,False
United Kingdom,London,City centre,Wimbledon Park Underground Station,Blackheath,132,London,4.0,3.0,51.0,_ACCOM_TYPE@Guest House,1,7165.0,0,0% no offer,2018,5,1,0,6.7,9.9,Guest House,1,3.0,28.0,False,False,False,False
United Kingdom,London,City centre,Wimbledon Park Underground Station,Blackheath,132,London,4.0,3.0,51.0,_ACCOM_TYPE@Guest House,1,7165.0,0,0% no offer,2018,4,1,0,6.7,9.9,Guest House,1,3.0,28.0,False,False,False,False
United Kingdom,London,City centre,Wimbledon Park Underground Station,Blackheath,132,London,4.0,3.0,51.0,_ACCOM_TYPE@Guest House,1,7165.0,0,0% no offer,2018,2,1,0,6.7,9.9,Guest House,1,3.0,28.0,False,False,False,False
United Kingdom,London,City centre,Wimbledon Park Underground Station,Blackheath,132,London,4.0,3.0,51.0,_ACCOM_TYPE@Guest House,1,7165.0,0,0% no offer,2018,3,1,0,6.7,9.9,Guest House,1,3.0,28.0,False,False,False,False
United Kingdom,London,City centre,Wimbledon Park Underground Station,Blackheath,132,London,4.0,3.0,51.0,_ACCOM_TYPE@Guest House,1,7165.0,0,0% no offer,2018,1,1,0,6.7,9.9,Guest House,1,3.0,28.0,False,False,False,False
United Kingdom,London,City centre,Wimbledon Park Underground Station,Blackheath,132,London,4.0,3.0,51.0,_ACCOM_TYPE@Guest House,1,7165.0,0,0% no offer,2017,11,1,0,6.7,9.9,Guest House,1,3.0,28.0,False,False,False,False
United Kingdom,London,City centre,Wimbledon Park Underground Station,Blackheath,500,London,4.0,3.0,51.0,_ACCOM_TYPE@Guest House,1,7165.0,0,0% no offer,2017,12,0,1,6.7,9.9,Guest House,4,3.0,28.0,False,False,False,False
United Kingdom,London,City centre,Wimbledon Park Underground Station,Bloomsbury,120,London,3.0,3.0,125.0,_ACCOM_TYPE@Bed and breakfast,1,7167.0,1,15-50% offer,2017,12,0,1,1.3,7.1,Bed and breakfast,1,3.4,113.0,False,False,False,False
United Kingdom,London,City centre,Wimbledon Park Underground Station,Bloomsbury,146,London,3.0,3.0,125.0,_ACCOM_TYPE@Bed and breakfast,1,7167.0,1,15-50% offer,2017,11,0,0,1.3,7.1,Bed and breakfast,1,3.4,113.0,False,False,False,False
United Kingdom,London,City centre,Wimbledon Park Underground Station,Bloomsbury,242,London,3.0,3.0,125.0,_ACCOM_TYPE@Bed and breakfast,1,7167.0,0,0% no offer,2018,6,1,0,1.3,7.1,Bed and breakfast,1,3.4,113.0,False,False,False,False
United Kingdom,London,City centre,Wimbledon Park Underground Station,Bloomsbury,564,London,3.0,3.0,125.0,_ACCOM_TYPE@Bed and breakfast,1,7167.0,1,15-50% offer,2017,12,0,1,1.3,7.1,Bed and breakfast,4,3.4,113.0,False,False,False,False
United Kingdom,London,City centre,Wimbledon Park Underground Station,Bloomsbury,172,London,4.0,4.0,1019.0,_ACCOM_TYPE@Hotel,0,7169.0,1,50%-75% offer,2018,1,1,0,0.8,6.5,Hotel,1,3.9,557.0,False,False,False,False
United Kingdom,London,City centre,Wimbledon Park Underground Station,Bloomsbury,177,London,4.0,4.0,1019.0,_ACCOM_TYPE@Hotel,0,7169.0,1,50%-75% offer,2018,2,1,0,0.8,6.5,Hotel,1,3.9,557.0,False,False,False,False
United Kingdom,London,City centre,Wimbledon Park Underground Station,Bloomsbury,179,London,4.0,4.0,1019.0,_ACCOM_TYPE@Hotel,0,7169.0,1,50%-75% offer,2017,12,0,1,0.8,6.5,Hotel,1,3.9,557.0,False,False,False,False
United Kingdom,London,City centre,Wimbledon Park Underground Station,Bloomsbury,203,London,4.0,4.0,1019.0,_ACCOM_TYPE@Hotel,1,7169.0,1,50%-75% offer,2018,3,1,0,0.8,6.5,Hotel,1,3.9,557.0,False,False,False,False
United Kingdom,London,City centre,Wimbledon Park Underground Station,Bloomsbury,203,London,4.0,4.0,1019.0,_ACCOM_TYPE@Hotel,1,7169.0,1,50%-75% offer,2018,5,1,0,0.8,6.5,Hotel,1,3.9,557.0,False,False,False,False
United Kingdom,London,City centre,Wimbledon Park Underground Station,Bloomsbury,208,London,4.0,4.0,1019.0,_ACCOM_TYPE@Hotel,1,7169.0,1,50%-75% offer,2018,4,1,0,0.8,6.5,Hotel,1,3.9,557.0,False,False,False,False
United Kingdom,London,City centre,Wimbledon Park Underground Station,Bloomsbury,208,London,4.0,4.0,1019.0,_ACCOM_TYPE@Hotel,1,7169.0,1,50%-75% offer,2018,6,1,0,0.8,6.5,Hotel,1,3.9,557.0,False,False,False,False
United Kingdom,London,City centre,Wimbledon Park Underground Station,Bloomsbury,253,London,4.0,4.0,1019.0,_ACCOM_TYPE@Hotel,1,7169.0,1,50%-75% offer,2017,11,0,0,0.8,6.5,Hotel,1,3.9,557.0,False,False,False,False
United Kingdom,London,City centre,Wimbledon Park Underground Station,Bloomsbury,954,London,4.0,4.0,1019.0,_ACCOM_TYPE@Hotel,1,7169.0,1,50%-75% offer,2017,12,0,1,0.8,6.5,Hotel,4,3.9,557.0,False,False,False,False
United Kingdom,London,City centre,Wimbledon Park Underground Station,Bloomsbury,160,London,3.0,2.5,507.0,_ACCOM_TYPE@Hotel,0,7170.0,1,1-15% offer,2017,11,0,0,0.7,6.5,Hotel,1,2.7,201.0,False,False,False,False
United Kingdom,London,City centre,Wimbledon Park Underground Station,Bloomsbury,183,London,3.0,2.5,507.0,_ACCOM_TYPE@Hotel,0,7170.0,1,1-15% offer,2017,12,0,1,0.7,6.5,Hotel,1,2.7,201.0,False,False,False,False
United Kingdom,London,City centre,Wimbledon Park Underground Station,Bloomsbury,193,London,3.0,2.5,507.0,_ACCOM_TYPE@Hotel,0,7170.0,1,15-50% offer,2018,1,1,0,0.7,6.5,Hotel,1,2.7,201.0,False,False,False,False
United Kingdom,London,City centre,Wimbledon Park Underground Station,Bloomsbury,193,London,3.0,2.5,507.0,_ACCOM_TYPE@Hotel,0,7170.0,1,15-50% offer,2018,3,1,0,0.7,6.5,Hotel,1,2.7,201.0,False,False,False,False
United Kingdom,London,City centre,Wimbledon Park Underground Station,Bloomsbury,198,London,3.0,2.5,507.0,_ACCOM_TYPE@Hotel,0,7170.0,1,15-50% offer,2018,4,1,0,0.7,6.5,Hotel,1,2.7,201.0,False,False,False,False
United Kingdom,London,City centre,Wimbledon Park Underground Station,Bloomsbury,198,London,3.0,2.5,507.0,_ACCOM_TYPE@Hotel,0,7170.0,1,15-50% offer,2018,2,1,0,0.7,6.5,Hotel,1,2.7,201.0,False,False,False,False
United Kingdom,London,City centre,Wimbledon Park Underground Station,Bloomsbury,299,London,3.0,2.5,507.0,_ACCOM_TYPE@Hotel,0,7170.0,1,1-15% offer,2017,11,1,0,0.7,6.5,Hotel,1,2.7,201.0,False,False,False,False
United Kingdom,London,City centre,Wimbledon Park Underground Station,Bloomsbury,730,London,3.0,2.5,507.0,_ACCOM_TYPE@Hotel,1,7170.0,1,1-15% offer,2017,12,0,1,0.7,6.5,Hotel,4,2.7,201.0,False,False,False,False
United Kingdom,London,City centre,Wimbledon Park Underground Station,Bloomsbury,143,London,3.0,4.0,1070.0,_ACCOM_TYPE@Hotel,0,7171.0,1,15-50% offer,2017,12,0,1,0.9,6.8,Hotel,1,3.5,107.0,False,False,False,False
United Kingdom,London,City centre,Wimbledon Park Underground Station,Bloomsbury,175,London,3.0,4.0,1070.0,_ACCOM_TYPE@Hotel,0,7171.0,1,15-50% offer,2018,1,1,0,0.9,6.8,Hotel,1,3.5,107.0,False,False,False,False
